Unavngivet regneark - Ark1(1)
title;description;artist;culture;teaserText;url;image;regularImage;largeImage;date;medium;accessionNumber;galleryInformation
Dragon-Handled Jug with Inscription;;;;<p>Date: early 16th century<br/>Accession Number: 91.1.607</p>;"/art/collection/search/444607?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=1";https://images.metmuseum.org/CRDImages/is/mobile-large/DP235038.JPG;is/web-additional/DP235038.JPG;is/web-large/DP235038.JPG;early 16th century;"Brass; cast and turned, engraved, and inlaid with silver, gold, and black organic compound";91.11.07;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzUzNjg1LDQwLjc3ODEwODg4QGxtQDIwNTQwMTQ4NTQ1' target='_blank'>Gallery 455</a>
Sutra box with dragons amid clouds;Accession Number: 2001.584a–c;;China;<p>Accession Number: 2001.584a–c</p>;"/art/collection/search/60870?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=2";https://images.metmuseum.org/CRDImages/as/mobile-large/DP-14363-001.jpg;as/web-additional/DP-14363-001.jpg;as/web-large/DP-14363-001.jpg;;"Red lacquer with incised decoration inlaid with gold; damascened brass lock and key";2001.584a–c;Not on view
"&#39;Saz&#39;-Style Drawing of a Dragon Amid Foliage";Shah Quli (Turkish, born Tabriz, Iran, active ca. mid-16th century);Shah Quli;;<p>Shah Quli (Turkish, born Tabriz, Iran, active ca. mid-16th century) </p><p>Date: ca. 1540–50<br/>Accession Number: 57.51.26</p>;"/art/collection/search/451405?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=3";https://images.metmuseum.org/CRDImages/is/mobile-large/DP231358.jpg;is/web-additional/DP231358.jpg;is/web-large/DP231358.jpg;ca. 1540–50;Ink, opaque watercolor, and gold on paper;57.51.26;Not on view
Dragon Wrapped around Saz Leaves;;;;<p>Date: ca. 1550–70<br/>Accession Number: 2000.424</p>;"/art/collection/search/454015?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=4";https://images.metmuseum.org/CRDImages/is/mobile-large/DP252419.jpg;is/web-additional/DP252419.jpg;is/web-large/DP252419.jpg;ca. 1550–70;"Main support: ink on paper
 
 Border: Gold, ink, and opaque watercolor on paper";2007.04.00;Not on view
Cup with Three Dragon Heads;Reinhold Vasters (German, Erkelenz 1827–1909 Aachen) and;Reinhold Vasters;;<p>Reinhold Vasters (German, Erkelenz 1827–1909 Aachen) and</p><p>Date: ca. 1865–95 and 1902–7<br/>Accession Number: 1975.1.1495</p>;"/art/collection/search/461309?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=5";https://images.metmuseum.org/CRDImages/rl/mobile-large/SF-1975-1-1495.jpg;rl/web-additional/SF-1975-1-1495.jpg;rl/web-large/SF-1975-1-1495.jpg;ca. 1865–95 and 1902–7;Rock crystal, cut on the wheel, enameled gold, rubies, and diamonds.;1975.25.55;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2NDE2NjY2LDQwLjc3OTk2Nzg1QGxtQDc2NjA4NjE3NzcyMA==' target='_blank'>Gallery 951</a>
Shaft-hole axe head with bird-headed demon, boar, and dragon;;;Bactria-Margiana Archaeological Complex;<p>Date: ca. late 3rd–early 2nd millennium BCE<br/>Accession Number: 1982.5</p>;"/art/collection/search/329076?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=6";https://images.metmuseum.org/CRDImages/an/mobile-large/1982.5.jpg;an/web-additional/1982.5.jpg;an/web-large/1982.5.jpg;ca. late 3rd–early 2nd millennium BCE;Silver, gold foil;1982.5;Not on view
Pendant with Saint George and the Dragon;;;possibly French;<p>Date: ca. 1890–1910<br/>Accession Number: 1982.60.374</p>;"/art/collection/search/207250?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=7";https://images.metmuseum.org/CRDImages/es/mobile-large/DT7170.jpg;es/web-additional/DT7170.jpg;es/web-large/DT7170.jpg;ca. 1890–1910;Enameled gold set with diamonds;1983.06.14;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzY4NzcsNDAuNzc5MzMwNzZAbG1AMTA2ODE5ODExMDI2MA==' target='_blank'>Gallery 542</a>
Shield Depicting Saint George Slaying the Dragon;;;Italian, Milan;<p>Date: ca. 1560–70<br/>Accession Number: 14.25.1884</p>;"/art/collection/search/22411?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=8";https://images.metmuseum.org/CRDImages/aa/mobile-large/AA95.jpg;aa/web-additional/AA95.jpg;aa/web-large/AA95.jpg;ca. 1560–70;Steel, gold, silver;14.56.24;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzE3Mjg0LDQwLjc4MDA5MTQ3QGxtQDE0NzgzMDYzMDk1' target='_blank'>Gallery 374</a>
"""Gushtasp Slays the Dragon of Mount Saqila"", Folio from a Shahnama (Book of Kings) of Firdausi";"Abu&#39;l Qasim Firdausi (Iranian, Paj ca. 940/41–1020 Tus)";Abu'l Qasim Firdausi;;"<p>Abu&#39;l Qasim Firdausi (Iranian, Paj ca. 940/41–1020 Tus) </p><p>Date: ca. 1330–40<br/>Accession Number: 1974.290.24</p>";"/art/collection/search/452649?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=9";https://images.metmuseum.org/CRDImages/is/mobile-large/DP108573.jpg;is/web-additional/DP108573.jpg;is/web-large/DP108573.jpg;ca. 1330–40;Ink, opaque watercolor, gold, and silver on paper;1978.50.24;On view at The Met Fifth Avenue in <a href='https://maps.metmuseum.org/?feature=LTczLjk2MzUzNjg1LDQwLjc3ODEwODg4QGxtQDIwNTQwMTQ4NTQ1' target='_blank'>Gallery 455</a>
"Case (Inrō) with a Fox from the Kyōgen Play ""The Fox Hunter"" (Tsurigitsune) (obverse); Haystacks and Stream from the Kyōgen Play ""Hakuzosu"" (reverse)";Shibata Zeshin (Japanese, 1807–1891);Shibata Zeshin;Japan;<p>Shibata Zeshin (Japanese, 1807–1891) </p><p>Date: 19th century<br/>Accession Number: 57.46</p>;"/art/collection/search/36077?&what=Gold&ft=Dragon&offset=0&rpp=100&amp;pos=10";https://images.metmuseum.org/CRDImages/as/mobile-large/57_46_O1.JPG;as/web-additional/57_46_O1.JPG;as/web-large/57_46_O1.JPG;19th century;"Gold and colored lacquer on wood
 
 Signed: Zeshin
 
 Ojime: carved wooden dragon (signed: Ichiryūsai Furuta)
 
 Netsuke: ceramic figure of Kaduzōsu (signed: Eiraku)";57.46.00;Not on view
